33,0,1,27,13,6,3,2,22,7,15,47,14,54,16,71,42,3,12,17,10,31,1,3,9,13,4,1,2,4,2,1,1,13,13,9,106,2,14,2,8,4
79,5,2,41,34,13,4,8,35,16,88,80,69,64,95,84,72,19,27,42,34,56,3,18,24,34,3,0,1,12,4,0,3,24,29,43,156,11,15,14,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,6,1,38,31,9,4,10,25,13,26,63,15,80,24,103,49,8,16,24,19,40,2,6,21,14,5,1,0,14,0,0,2,34,41,9,171,3,16,13,25,3
76,3,0,43,31,11,0,12,23,17,50,65,52,87,71,114,43,11,16,28,14,39,4,13,20,24,3,0,3,14,4,0,3,23,31,30,166,5,17,10,26,5
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
34,3,1,14,23,3,2,11,13,4,19,16,9,38,22,49,40,4,9,11,9,23,1,6,7,18,1,0,0,13,3,2,1,11,12,4,81,1,6,5,4,3
60,6,1,18,20,17,3,15,29,11,53,33,35,42,55,53,27,5,19,15,13,27,0,7,13,26,2,0,1,8,0,0,0,22,23,20,75,6,12,8,18,2
40,0,1,13,22,5,2,10,7,6,17,36,5,44,22,61,30,7,10,14,10,25,0,4,6,8,1,0,0,14,0,0,4,11,11,10,78,1,12,7,10,1
21,0,1,7,12,3,1,3,2,5,27,6,15,10,32,15,10,6,4,11,13,9,2,7,2,7,0,0,1,3,0,0,2,7,9,18,33,1,2,1,4,1
34,1,3,10,9,3,1,4,9,3,15,26,9,19,28,35,24,6,17,10,7,18,0,3,3,8,0,0,0,5,1,0,1,10,11,7,61,1,5,6,17,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
1,0,0,0,2,1,0,0,1,0,2,0,1,1,2,3,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,5,8,4,0,6,4,3,13,16,9,20,27,14,17,3,6,6,3,12,2,2,8,3,0,0,0,5,0,1,2,9,5,10,25,0,5,1,5,0
25,0,0,11,13,3,2,3,11,8,11,19,10,37,20,43,17,3,5,11,7,8,0,3,5,12,2,0,0,10,1,0,0,6,7,5,63,3,7,1,12,4
54,0,0,27,30,9,0,16,22,11,48,43,54,55,45,72,46,11,14,12,24,22,1,10,8,22,5,0,0,17,3,0,1,19,31,22,84,5,9,7,19,3
61,5,1,37,32,8,3,17,19,8,36,104,31,89,57,118,65,10,26,43,20,45,1,17,19,25,3,0,1,20,1,1,3,34,36,12,157,6,21,23,38,11
25,1,0,8,20,4,2,7,14,5,20,31,19,20,29,21,25,10,6,13,14,22,0,3,3,12,0,1,1,3,0,0,2,16,7,12,48,4,7,4,14,2
5,0,0,0,4,2,0,5,2,1,4,5,2,8,7,8,3,2,1,1,1,7,0,3,0,3,0,0,1,0,1,0,0,2,1,1,13,1,1,1,0,0
