283.00,7.00,7.00,153.00,124.00,27.00,8.00,30.00,102.00,24.00,173.00,312.00,171.00,383.00,228.00,510.00,214.00,36.00,132.00,120.00,96.00,84.00,3.00,24.00,53.00,113.00,19.00,1.00,6.00,78.00,3.00,1.00,12.00,73.00,112.00,91.00,537.00,43.00,93.00,56.00,84.00,38.00
520.00,16.00,13.00,301.00,314.00,82.00,14.00,109.00,228.00,56.00,468.00,446.00,440.00,691.00,547.00,768.00,392.00,99.00,213.00,99.00,122.00,403.00,26.00,72.00,96.00,213.00,17.00,1.00,7.00,143.00,30.00,4.00,19.00,197.00,188.00,184.00,1034.00,47.00,103.00,78.00,183.00,39.00
726.00,77.00,8.00,367.00,362.00,51.00,16.00,131.00,187.00,72.00,512.00,931.00,487.00,1034.00,737.00,1594.00,561.00,110.00,348.00,227.00,328.00,406.00,21.00,163.00,183.00,266.00,30.00,1.00,9.00,185.00,26.00,7.00,36.00,213.00,309.00,237.00,1600.00,48.00,221.00,135.00,243.00,55.00
410.00,11.00,23.00,248.00,316.00,64.00,26.00,109.00,207.00,72.00,397.00,529.00,439.00,599.00,578.00,762.00,400.00,115.00,208.00,183.00,130.00,354.00,21.00,54.00,75.00,291.00,18.00,5.00,11.00,93.00,22.00,7.00,25.00,156.00,210.00,185.00,888.00,73.00,121.00,66.00,164.00,47.00
55.00,0.00,0.00,44.00,40.00,8.00,3.00,17.00,25.00,5.00,73.00,57.00,43.00,121.00,80.00,116.00,44.00,18.00,16.00,23.00,20.00,60.00,1.00,15.00,8.00,39.00,4.00,1.00,3.00,8.00,2.00,0.00,3.00,29.00,22.00,17.00,196.00,10.00,17.00,13.00,10.00,1.00
279.00,36.00,3.00,113.00,106.00,38.00,12.00,19.00,52.00,43.00,195.00,303.00,124.00,352.00,342.00,508.00,184.00,18.00,114.00,109.00,162.00,98.00,11.00,36.00,43.00,103.00,13.00,5.00,7.00,57.00,4.00,2.00,6.00,75.00,132.00,84.00,626.00,22.00,84.00,54.00,75.00,31.00
541.00,23.00,8.00,254.00,320.00,61.00,18.00,81.00,183.00,83.00,378.00,593.00,337.00,780.00,623.00,1018.00,416.00,74.00,288.00,134.00,155.00,366.00,13.00,118.00,93.00,225.00,10.00,1.00,4.00,130.00,35.00,14.00,15.00,176.00,172.00,169.00,1101.00,36.00,153.00,78.00,143.00,39.00
515.00,59.00,7.00,208.00,216.00,67.00,16.00,45.00,149.00,73.00,381.00,561.00,309.00,715.00,564.00,874.00,373.00,73.00,252.00,139.00,180.00,288.00,9.00,136.00,88.00,180.00,11.00,0.00,7.00,123.00,24.00,6.00,13.00,149.00,195.00,201.00,967.00,25.00,97.00,75.00,150.00,30.00
82.00,0.00,5.00,37.00,38.00,9.00,4.00,14.00,51.00,21.00,45.00,66.00,55.00,133.00,61.00,134.00,58.00,20.00,51.00,40.00,38.00,58.00,4.00,7.00,9.00,44.00,4.00,1.00,3.00,21.00,2.00,0.00,4.00,34.00,45.00,23.00,195.00,23.00,40.00,10.00,26.00,1.00
221.00,2.00,4.00,12.00,46.00,18.00,7.00,22.00,69.00,4.00,142.00,126.00,125.00,256.00,187.00,238.00,6.00,14.00,33.00,9.00,11.00,44.00,2.00,22.00,24.00,75.00,6.00,0.00,0.00,57.00,0.00,1.00,2.00,32.00,37.00,34.00,485.00,4.00,23.00,3.00,13.00,17.00
208.00,8.00,6.00,116.00,98.00,24.00,3.00,37.00,66.00,32.00,232.00,204.00,241.00,223.00,290.00,254.00,144.00,42.00,96.00,71.00,70.00,140.00,11.00,41.00,37.00,112.00,5.00,2.00,2.00,41.00,8.00,3.00,10.00,72.00,81.00,101.00,339.00,36.00,49.00,31.00,67.00,14.00
58.00,0.00,5.00,42.00,40.00,9.00,3.00,15.00,26.00,5.00,48.00,52.00,47.00,99.00,55.00,73.00,47.00,17.00,35.00,21.00,20.00,53.00,4.00,5.00,16.00,31.00,3.00,0.00,1.00,20.00,3.00,1.00,1.00,18.00,25.00,19.00,112.00,5.00,3.00,10.00,16.00,5.00
